City,Latitude,Longitude,Max. Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date (unix-UTC),Date
Vilyuysk,63.7553,63.7553,1.61,83.0,91,3.59,RU,1634963674,2021-10-23 04:34:34
Tessalit,20.1986,20.1986,25.23,23.0,15,2.81,ML,1634963676,2021-10-23 04:34:36
Tiksi,71.6872,71.6872,-15.27,97.0,100,1.03,RU,1634963677,2021-10-23 04:34:37
Avarua,-21.2078,-21.2078,22.03,64.0,20,2.57,CK,1634963679,2021-10-23 04:34:39
Puerto Padre,21.195,21.195,25.56,91.0,98,1.06,CU,1634963680,2021-10-23 04:34:40
Kapaa,22.0752,22.0752,26.99,87.0,40,5.14,US,1634963681,2021-10-23 04:34:41
Pevek,69.7008,69.7008,-10.93,92.0,100,2.79,RU,1634963683,2021-10-23 04:34:43
Atuona,-9.8,-9.8,25.38,80.0,26,7.64,PF,1634963685,2021-10-23 04:34:45
Talnakh,69.4865,69.4865,-2.02,96.0,100,3.41,RU,1634963686,2021-10-23 04:34:46
Okhotsk,59.3833,59.3833,-3.84,72.0,14,5.19,RU,1634963688,2021-10-23 04:34:48
Albany,42.6001,42.6001,6.87,82.0,47,0.89,US,1634963689,2021-10-23 04:34:49
Tauranga,-37.6861,-37.6861,14.97,53.0,100,1.79,NZ,1634963691,2021-10-23 04:34:51
Jamestown,42.097,42.097,7.62,91.0,90,0.45,US,1634963676,2021-10-23 04:34:36
San Patricio,28.017,28.017,26.92,79.0,97,3.86,US,1634963692,2021-10-23 04:34:52
Saint George,37.1041,37.1041,20.19,32.0,1,0.45,US,1634963693,2021-10-23 04:34:53
Qaanaaq,77.484,77.484,-17.92,63.0,0,3.75,GL,1634963397,2021-10-23 04:29:57
Rikitea,-23.1203,-23.1203,23.43,85.0,7,9.02,PF,1634963695,2021-10-23 04:34:55
Tallahassee,30.4383,30.4383,22.02,95.0,90,0.0,US,1634963648,2021-10-23 04:34:08
Portland,45.5234,45.5234,12.23,92.0,90,1.79,US,1634963696,2021-10-23 04:34:56
Punta Arenas,-53.15,-53.15,3.06,81.0,0,13.38,CL,1634963635,2021-10-23 04:33:55
Thompson,55.7435,55.7435,-0.91,86.0,75,2.06,CA,1634963698,2021-10-23 04:34:58
Port Lincoln,-34.7333,-34.7333,15.61,55.0,7,7.85,AU,1634963699,2021-10-23 04:34:59
Chokurdakh,70.6333,70.6333,-24.8,99.0,97,1.32,RU,1634963700,2021-10-23 04:35:00
Dali,25.7,25.7,19.37,58.0,75,0.6,CN,1634963702,2021-10-23 04:35:02
Hong Kong,22.2855,22.2855,23.47,76.0,59,0.89,HK,1634963610,2021-10-23 04:33:30
Otane,-39.8833,-39.8833,15.01,66.0,98,4.1,NZ,1634963702,2021-10-23 04:35:02
Viedma,-40.8135,-40.8135,7.15,89.0,1,5.1,AR,1634963645,2021-10-23 04:34:05
Diego de Almagro,-26.3667,-26.3667,11.0,56.0,92,0.72,CL,1634963664,2021-10-23 04:34:24
Yellowknife,62.456,62.456,5.79,71.0,20,8.75,CA,1634963678,2021-10-23 04:34:38
Busselton,-33.65,-33.65,19.1,52.0,1,3.17,AU,1634963704,2021-10-23 04:35:04
